iter	Passed	Remaining
0	53	53647
1	54	27149
2	55	18289
3	55	13858
4	56	11189
5	56	9403
6	57	8132
7	57	7173
8	58	6433
9	58	5835
10	59	5342
11	60	4941
12	60	4601
13	61	4302
14	61	4057
15	62	3831
16	62	3634
17	63	3453
18	63	3296
19	64	3155
20	64	3025
21	65	2908
22	66	2807
23	66	2709
24	67	2620
25	67	2537
26	68	2463
27	68	2390
28	69	2322
29	69	2261
30	70	2202
31	70	2147
32	71	2094
33	72	2048
34	72	1999
35	73	1955
36	73	1915
37	74	1891
38	75	1853
39	75	1823
40	76	1789
41	77	1758
42	77	1725
43	78	1696
44	78	1670
45	79	1642
46	79	1616
47	80	1591
48	80	1567
49	81	1543
50	81	1522
51	82	1499
52	82	1479
53	83	1461
54	83	1442
55	84	1423
56	85	1406
57	85	1389
58	86	1374
59	86	1358
60	87	1344
61	87	1330
62	88	1316
63	89	1302
64	89	1287
65	90	1278
66	90	1264
67	91	1252
68	91	1240
69	92	1229
70	92	1216
71	93	1204
72	94	1194
73	94	1183
74	95	1174
75	95	1165
76	96	1155
77	96	1145
78	97	1136
79	98	1127
80	98	1118
81	99	1109
82	99	1098
83	99	1090
84	100	1081
85	101	1074
86	101	1065
87	101	1056
88	102	1050
89	103	1042
90	103	1037
91	104	1030
92	104	1023
93	105	1016
94	105	1009
95	106	1002
96	106	995
97	107	989
98	108	983
99	108	976
100	109	971
101	109	965
102	110	960
103	110	953
104	111	948
105	111	943
106	112	938
107	113	934
108	113	928
109	114	924
110	114	919
111	115	914
112	115	908
113	116	904
114	116	899
115	117	895
116	117	889
117	118	884
118	118	879
119	119	875
120	119	870
121	120	865
122	120	861
123	121	856
124	121	852
125	122	849
126	122	843
127	123	840
128	123	836
129	124	832
130	124	829
131	125	825
132	126	821
133	126	818
134	127	815
135	127	812
136	128	808
137	128	804
138	129	801
139	129	797
140	130	794
141	130	790
142	131	787
143	131	783
144	132	780
145	132	777
146	133	773
147	133	770
148	134	767
149	134	764
150	135	761
151	135	758
152	136	755
153	136	752
154	137	749
155	138	746
156	138	743
157	139	741
158	139	738
159	140	735
160	140	731
161	140	728
162	141	725
163	141	723
164	142	721
165	143	718
166	143	716
167	144	713
168	144	710
169	145	708
170	145	706
171	146	703
172	146	701
173	147	699
174	147	696
175	148	694
176	148	691
177	149	689
178	149	687
179	150	685
180	150	682
181	151	680
182	152	678
183	152	676
184	153	674
185	153	672
186	154	670
187	154	667
188	155	666
189	155	665
190	156	663
191	157	661
192	157	659
193	158	657
194	158	655
195	159	653
196	159	650
197	160	648
198	160	646
199	161	644
200	161	642
201	162	640
202	162	638
203	163	636
204	163	633
205	163	631
206	164	629
207	164	627
208	165	625
209	165	623
210	166	621
211	166	619
212	167	617
213	167	615
214	167	613
215	168	611
216	168	609
217	169	607
218	169	605
219	170	603
220	170	601
221	171	599
222	171	597
223	171	595
224	172	593
225	172	591
226	173	589
227	173	587
228	174	586
229	174	584
230	174	582
231	175	580
232	175	578
233	176	576
234	176	574
235	177	573
236	177	571
237	177	569
238	178	567
239	178	566
240	179	564
241	179	562
242	180	561
243	180	559
244	181	558
245	181	557
246	182	555
247	182	553
248	183	552
249	183	551
250	184	549
251	184	547
252	185	546
253	185	544
254	185	542
255	186	541
256	186	539
257	187	538
258	187	536
259	187	534
260	188	533
261	188	531
262	189	530
263	189	528
264	190	526
265	190	525
266	190	524
267	191	522
268	191	520
269	192	519
270	192	517
271	192	516
272	193	514
273	193	513
274	194	512
275	194	510
276	195	509
277	195	508
278	196	506
279	196	505
280	197	504
281	197	503
282	198	501
283	198	500
284	198	499
285	199	497
286	199	496
287	200	494
288	200	493
289	201	492
290	201	490
291	201	489
292	202	488
293	202	486
294	203	485
295	203	484
296	204	483
297	204	481
298	205	480
299	205	479
300	205	477
301	206	476
302	206	475
303	207	474
304	207	472
305	207	471
306	208	470
307	208	469
308	209	468
309	209	466
310	210	465
311	210	464
312	211	463
313	211	462
314	212	461
315	212	460
316	213	459
317	213	457
318	213	456
319	214	455
320	214	454
321	215	453
322	215	451
323	216	450
324	216	449
325	216	448
326	217	447
327	217	446
328	218	445
329	218	444
330	219	442
331	219	441
332	219	440
333	220	439
334	220	438
335	221	437
336	221	436
337	222	435
338	222	434
339	223	433
